tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
495,2018-05-05 10:30:24.824,2018-05-05 10:38:40.577,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.958013653755188,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,25194,Subscriber,1996,male,""
1758,2017-07-12 16:50:07,2017-07-12 17:19:25,3282,5 Ave & E 88 St,40.78307,-73.95939,3143,5 Ave & E 78 St,40.776321421822708,-73.964273929595947,26891,Customer,1998,male,""
292,2014-02-02 15:36:24,2014-02-02 15:41:16,2003,1 Ave & E 18 St,40.73416059,-73.98024289,511,E 14 St & Avenue B,40.72938685,-73.97772429,15351,Subscriber,1950,male,""
323,2015-04-20 18:23:57,2015-04-20 18:29:21,383,Greenwich Ave & Charles St,40.735238,-74.000271,294,Washington Square E,40.73049393,-73.9957214,18405,Subscriber,1941,male,""
923,2018-02-21 20:18:42.148,2018-02-21 20:34:05.251,296,Division St & Bowery,40.71413089,-73.9970468,243,Fulton St & Rockwell Pl,40.688226,-73.979382,24958,Subscriber,1943,male,""
1741,2016-06-09 13:25:19,2016-06-09 13:54:21,444,Broadway & W 24 St,40.7423543,-73.98915076,478,11 Ave & W 41 St,40.76030096,-73.99884222,20796,Subscriber,1996,male,""
2417,2016-05-30 16:22:53,2016-05-30 17:03:10,514,12 Ave & W 40 St,40.76087502,-74.00277668,350,Clinton St & Grand St,40.71559509,-73.9870295,17781,Subscriber,1996,male,""
589,2015-06-26 10:57:00,2015-06-26 11:07:00,257,Lispenard St & Broadway,40.71939226,-74.00247214,263,Elizabeth St & Hester St,40.71729,-73.996375,17585,Subscriber,1948,male,""
318,2017-11-30 07:17:27,2017-11-30 07:22:45,3151,E 81 St & York Ave,40.7728384,-73.94989233,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,16900,Subscriber,1941,male,""
321,2015-10-31 13:23:44,2015-10-31 13:29:05,79,Franklin St & W Broadway,40.71911552,-74.00666661,387,Centre St & Chambers St,40.71273266,-74.0046073,17619,Subscriber,1999,male,""
768,2017-05-04 08:33:04,2017-05-04 08:45:53,3238,E 80 St & 2 Ave,40.773913902381182,-73.9543953537941,164,E 47 St & 2 Ave,40.75323098,-73.97032517,25507,Subscriber,1942,female,""
635,2018-05-16 10:22:03.273,2018-05-16 10:32:38.754,402,Broadway & E 22 St,40.7403432,-73.98955109,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,26411,Subscriber,1946,male,""
759,2013-11-21 06:57:23,2013-11-21 07:10:02,521,8 Ave & W 31 St,40.75044999,-73.99481051,475,E 16 St & Irving Pl,40.73524276,-73.98758561,17055,Subscriber,1951,male,""
2572,2017-05-11 20:40:01,2017-05-11 21:22:53,448,W 37 St & 10 Ave,40.75660359,-73.9979009,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,26913,Subscriber,1996,male,""
234,2013-09-26 09:34:58,2013-09-26 09:38:52,444,Broadway & W 24 St,40.7423543,-73.98915076,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17378,Subscriber,1951,male,""
392,2015-07-03 13:13:55,2015-07-03 13:20:27,519,Pershing Square North,40.751873,-73.977706,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16613,Subscriber,1952,male,""
808,2016-07-11 23:57:09,2016-07-12 00:10:37,415,Pearl St & Hanover Square,40.7047177,-74.00926027,311,Norfolk St & Broome St,40.7172274,-73.98802084,25011,Subscriber,1952,male,""
